Date of Encounter,Which of the following groups best describes the roadkill found?,"If you are able to provide a more specific ID, please do so here!",Google Maps Plus Codes,How would you classify the path this roadkill was found on?
8/15/2020,Snake,Paradise Tree Snake,"1.401783333, 103.8119889",
9/18/2020,Snake,Gold-ringed Cat Snake,"Kheam Hock Road, near bukit batok cemetry",Road
9/18/2020,Snake,Gold-ringed Cat Snake,Kheam Hock Road,
9/25/2020,Snake,Equatorial Spitting Cobra,7R48+F5 Singapore,Road
10/2/20,Snake,Paradise Tree Snake,"1.34338333,103.7978883",
10/7/20,Lizard - Monitor,,Outside Tanjong Rhu Condo,Road
10/9/20,Snake,Equatorial Spitting Cobra,"1.359998, 103.769639",
10/11/20,Snake,Eight-striped Kukri Snake,"1.416878427,103.726176",
10/15/2020,Snake,Eight-striped Kukri Snake,"1.299085, 103.774855",
10/29/2020,Lizard - Monitor,,Holland Road,Road
11/11/20,Lizard - Monitor,Clouded Monitor,"1.341521, 103.7976195",
11/13/2020,Snake,Malayan Blue Coral Snake,Old Upper Thomson Road,
11/14/2020,Snake,Variable Reed Snake,Old Upper Thomson Road,
11/29/2020,Lizard - Monitor,,Andrew road,Bicycle Track
11/29/2020,Lizard - Monitor,Malayan Water Monitor,Stadium road,Road
12/5/20,Snake,Eight-striped Kukri Snake,"Rifle Range Road, Just before Temasek Club Entrance",
1/13/2021,Snake,Eight-striped Kukri Snake,"1.301162, 103.771911",
1/19/2021,Lizard - Not Sure,Green Iguana,"1.3925255219783468, 103.72990900746119",Road
1/21/2021,Snake,Paradise Tree Snake,"1.363750, 103.768861",
1/30/2021,Snake,Kopstein's Bronzeback,"1.386753, 103.818420",
2/7/21,Snake,Spotted Keelback,"1.400879,103.807041",
2/8/21,Lizard - Monitor,Malayan Water Monitor,"1.385484, 103.722959",
2/14/2021,Lizard - Not Sure,Green Iguana,"1.318072, 103.708453",Not mentioned
2/19/2021,Snake,Variable Reed Snake,"1.398891, 103.806776",
2/21/2021,Snake,Dog-toothed Cat Snake,"1.399563, 103.807889",Road used by cars and hikers.
3/1/21,Snake,Dendralaphis sp.,"1.386721, 103.816757",
3/1/21,Snake,Oriental Whip Snake,"1.380236, 103.817718",
3/2/21,Snake,Elegant Bronzeback,"1.3537392,103.7928995",
3/2/21,Snake,Reticulated Python,"1.362417, 103.693000",
3/8/21,Snake,Ahaetulla sp.,"1.3573877,103.7695656",
3/9/21,Lizard - Agamid,Green Crested Lizard,"1.378917, 103.809556",
3/28/2021,Snake,Eight-striped Kukri Snake,"1.3146578, 103.9122176",
3/30/2021,Frog,Bengal Toad,"1.317907782963533, 103.93864177976019",
3/31/2021,Snake,Reticulated Python,"1.283424, 103.842813",Road
4/3/21,Snake,White-bellied Blind Snake,"1.399243, 103.805904",
4/8/21,Snake,Sunbeam Snake,"1.427418,103.721098",
4/9/21,Lizard - Monitor,Monitor Lizard,"1.347796, 103.720597",Road
4/11/21,Snake,Unidentified Slithering Object,"1.3499744, 103.7839244",Road
4/12/21,Lizard - Monitor,Monitor Lizard,"1.376975, 103.776590",
4/13/2021,Snake,Common Malayan Racer,"1.294655, 103.779964",
4/13/2021,Lizard - Monitor,Malayan Water Monitor,"1.388851, 103.866255",
4/14/2021,Frog,Bengal Toad,"1.398813, 103.806969",
4/15/2021,Frog,Bengal Toad,"1.3414989, 103.7957838",
4/15/2021,Lizard - Monitor,Monitor Lizard,"1.306028727715658, 103.81552426443525",
4/18/2021,Frog,Bengal Toad,"1.3812256, 103.9553364",
4/19/2021,Snake,Indochinese Rat Snake,"1.409653, 103.700779",Road
4/22/2021,Lizard - Monitor,Malayan Water Monitor,"1.379917, 103.733167",Road
4/22/2021,Lizard - Monitor,Malayan Water Monitor,"1.297155, 103.778749",Road
4/24/2021,Turtle,Asiatic Softshell Turtle,"1.35741, 103.78266",Road
4/24/2021,Snake,Eight-striped Kukri Snake,"1.4450750, 103.7807246",Bicycle Track
4/25/2021,Snake,White-spotted Slug Snake,"1.2941854000091553,103.79893493652344",Bicycle Track
4/26/2021,Frog,Bengal Toad,"1.357544, 103.767874",Walking Trail
4/26/2021,Snake,Rainbow Water Snake,"1.438641,103.742781",Road
5/4/21,Frog,Bengal Toad,"1.401688,103.812063",Road
5/4/21,Snake,Black-headed Collared Snake,"1.400313, 103.808813",Road
5/4/21,Lizard - Agamid,Green Crested Lizard,"1.398938, 103.809312",Road
5/4/21,Lizard - Monitor,Malayan Water Monitor,"1.398938, 103.809937",Road
5/4/21,Lizard - Monitor,Monitor Lizard,"1.392237, 103.837232",Road
5/7/21,Frog,Copper-cheeked Frog; with eggs,"1.399815, 103.808288",Road
5/7/21,Snake,Gold-ringed Cat Snake,"1.3532770, 103.7702030",Bicycle track cum hiking trail
5/7/21,Snake,Kopstein's Bronzeback,"1.353405, 103.789413",Road
5/7/21,Frog,Malesian Frog,"1.399815, 103.808285",Road
5/7/21,Snake,Spotted Keelback,"1.353035, 103.791512",Road
5/8/21,Snake,Striped Bronzeback,"1.379500, 103.824889",Road
5/10/21,Snake,Reticulated Python,"1.389833, 103.817889",Road
5/13/2021,Lizard - Agamid,Green Iguana,"1.382394,103.731192",Road
5/15/2021,Lizard - Monitor,Malayan Water Monitor,"1.285222, 103.796222",Road
5/18/2021,Frog,Bengal Toad,"1.399813, 103.808313",Road
5/18/2021,Frog,Dicroglossid Frog,"1.398687, 103.807437",Road
5/19/2021,Frog,Bengal Toad,"1.351688, 103.871438",Road
5/20/2021,Snake,Gold-ringed Cat Snake,"1.387313, 103.774563",Road
5/20/2021,Snake,Kopstein's Bronzeback,"1.353469,103.788757",Road
5/23/2021,Snake,House Wolf Snake,"1.352794, 103.758888",Road
5/26/2021,Snake,Common Malayan Racer,"1.422312, 103.717938","road side, grass"
5/26/2021,Snake,Equatorial Spitting Cobra,"1.336760, 103.787226",Road
5/26/2021,Snake,House Wolf Snake,"1.410312, 103.778687",Road
5/26/2021,Snake,Reticulated Python,"1.383188, 103.877438",Road
5/29/2021,Snake,Equatorial Spitting Cobra,"1.331708, 103.810574",Not mentioned
5/31/2021,Frog,Bengal Toad,"1.3538125, 103.7933125",Road
5/31/2021,Frog,Four-lined Tree Frog,"1.343812, 103.779812",Road
5/31/2021,Frog,Four-lined Tree Frog,"1.345812, 103.781313",Road
6/1/21,Snake,Paradise Tree Snake,"1.368813, 103.970063",Road
6/1/21,Snake,Twin barred Tree Snake,"1.38046259725065, 103.81873319325341",Road
6/4/21,Snake,Black-headed Collared Snake,"1.3868751986227135, 103.81805713279884",Road
6/4/21,Lizard - Agamid,Green Crested Lizard,"1.343812, 103.779812",Road
6/4/21,Snake,Striped Bronzeback,"1.38312519892243, 103.81894286163448",Road
6/4/21,Snake,Twin barred Tree Snake,"1.3894894727313432, 103.81767140396322",Pavement
6/5/21,Frog,Four-lined Tree Frog,"1.351688, 103.784562",Road
6/5/21,Snake,Gold-ringed Cat Snake,"1.368938, 103.776312",Pavement
6/6/21,Snake,Twin-barred Tree Snake,"1.400836, 103.806727",Pavement
6/10/21,Frog,Masked Swamp Frog,"1.400313, 103.808938",Road
6/11/21,Snake,Reticulated Python,"1.292313, 103.826062",Road
6/12/21,Snake,Ball Python,"1.388438, 103.979063",Road
6/12/21,Snake,House Wolf Snake,"1.350069, 103.881199",Road
6/12/21,Snake,Sunbeam Snake,"1.3997433191634625, 103.80798329325341",In drain
6/16/2021,Snake,Kopstein's Bronzeback,"1.3541706988365179, 103.79389492023981",Road
6/21/2021,Snake,Oriental Whip Snake,"1.396260, 103.923209",Bicycle Track
6/22/2021,Snake,Reticulated Python,"1.344938, 103.680813",Road
6/22/2021,Snake,Reticulated Python,"1.383938, 103.697313",Road
6/24/2021,Snake,Elegant Bronzeback,"1.354369, 103.795066",Road
6/29/2021,Snake,Rainbow Water Snake,"1.4391594033234112, 103.73840203109238",Pavement
6/29/2021,Snake,Reticulated Python,"1.3474634576416027, 103.72567996228723",Road
6/30/2021,Lizard - Agamid,Sumatran Flying Dragon,"1.3611165166949777, 103.77723036971038",Walking and bicycle path
7/2/21,Snake,Malayan Blue Coral Snake,"1.371167, 103.779023",Road
7/2/21,Snake,Oriental Whip Snake,"1.2948133, 103.7789308",Road
7/5/21,Snake,Reticulated Python,"1.316167, 103.764951",Road
7/7/21,Snake,Black-headed Collared Snake,"1.3800364, 103.8210244",Road
7/8/21,Snake,Equatorial Spitting Cobra,"1.4292043723764112, 103.70956253886257",Road
7/9/21,Snake,Painted Bronzeback,"1.385595, 103.722544",Road
7/15/2021,Lizard - Monitor,Clouded Monitor,"1.3390604319410337, 103.80638377437037",Road
7/16/2021,Frog,Bengal Toad,"1.2988347628666286, 103.89864828505905",Pavement
7/17/2021,Frog,Bengal Toad,"1.3069915267599603, 103.7904337083275",Road
7/17/2021,Lizard - Skink,Many-lined Sun Skink,"1.3796855, 103.8222814",Road
7/21/2021,Snake,Paradise Tree Snake,"1.2939486247207683, 103.7807695390205",Road
7/22/2021,Snake,Kopstein's Bronzeback,"1.38983102484182, 103.8176016236706",Road
7/24/2021,Frog,Bengal Toad,"1.3474094227656275, 103.87039453901845",Road
7/26/2021,Lizard - Not Sure,Green Iguana,"1.3840344151497368, 103.73152703109447",Road
7/30/2021,Snake,Reticulated Python,"1.276629, 103.676383",Road
7/30/2021,Snake,Reticulated Python,"1.3757807079430349, 103.9766482850561",Road
8/1/21,Snake,Sunbeam Snake,"1.2838628172145954, 103.79089828505963",Road
8/3/21,Snake,Reticulated Python,"1.3334131368215623, 103.88672662367274",Road
8/5/21,Lizard - Agamid,Bearded Dragon,"1.4110773117414417, 103.7796016236698",Road
8/12/21,Snake,Equatorial Spitting Cobra,"1.3316911959107827, 103.81051953901898",Road
8/12/21,Lizard - Not Sure,Green Iguana,"1.3829915125185233, 103.7310587083246",Road
8/14/2021,Frog,American Bullfrog,"1.3484523260193135, 103.76089453901841",Road
8/15/2021,Snake,Banded Malayan Coral Snake,"1.410020, 103.806412",Road
8/21/2021,Snake,Eight-striped Kukri Snake,"1.3981191, 103.8043680",Road
8/21/2021,Snake,Variable Reed Snake,"1.354243902196384, 103.7770044086063",Walking Trail
8/23/2021,Snake,Kopstein's Bronzeback,"1.353459, 103.785900",Road
8/27/2021,Snake,Banded Malayan Coral Snake,"1.41583, 103.79284",Road
8/28/2021,Snake,Equatorial Spitting Cobra,"1.422653020171518, 103.72102127791099",Road
9/1/21,Lizard - Monitor,Malayan Water Monitor,"1.430405699295427, 103.7186091157465",Road
9/1/21,Snake,Sunbeam Snake,"1.4223236027227841, 103.71752328505434",Road
9/3/21,Frog,Bengal Toad,"1.3792844161483382, 103.80930870832476",Road
9/9/21,Frog,Blyth's River Frog,"1.4047303862484462, 103.77848036970873",Bicycle Track
9/11/21,Snake,Reticulated Python,"1.438825020899918, 103.74220100674889","It was found on the grass patch adjacent to the road outside Sungei Buloh Wetland Reserve's Visitor Centre, towards the Kranji fishing grounds and car park (see photo 3)."
9/13/2021,Snake,Sunbeam Snake,"1.402795533621758, 103.7844374543626",Road
9/14/2021,Snake,Paradise Tree Snake,"1.3293310416679454, 103.94014828505787",Road
9/16/2021,Lizard - Monitor,Malayan Water Monitor,"1.3780381252347538, 103.73389453901729",Road
9/17/2021,Lizard - Monitor,Monitor Lizard,"1.317635, 103.818635",Carpark lot 33
9/18/2021,Snake,Banded Malayan Coral Snake,"1.337067, 103.822176",Road
9/22/2021,Frog,Bengal Toad,"1.4060418250815274, 103.96376953901624",Road
9/27/2021,Lizard - Monitor,Clouded Monitor,"1.3817452213802388, 103.7264803697096",Road
9/27/2021,Snake,Oriental Whip Snake,"1.388698608672018, 103.81781245436311",Road
9/29/2021,Snake,House Wolf Snake,"1.3903776355744069, 103.72243745436309",Road
10/11/21,Snake,Sunbeam Snake,"1.3917686992521818, 103.90753670858665",Road
10/14/2021,Lizard - Agamid,Sumatran Flying Dragon,"1.297698624105668, 103.77828139298164",Pavement
10/15/2021,Lizard - Monitor,Clouded Monitor,"1.30892733471407, 103.80973060832746",Road
10/15/2021,Snake,Striped Bronzeback,"1.3805591287461945, 103.81872246441779",Road
10/16/2021,Snake,Reticulated Python,"1.351536, 103.758124",Road
10/19/2021,Snake,Reticulated Python,"1.3474060367161222, 103.76362471574961",Road
10/20/2021,Lizard - Agamid,Changeable Lizard,"1.42256279843322, 103.71765226970808",Road
10/20/2021,Frog,Crab-eating Frog,"1.4228057005172428, 103.71841763109305",Road
10/20/2021,Snake,Reticulated Python,"1.3728048325645343, 103.82851193554869",Road
10/20/2021,Snake,Reticulated Python,"1.2994915281244568, 103.63998036971276",Road
10/20/2021,Snake,Reticulated Python,"1.418002310124858, 103.76684763901581",on grass patch etween road & pavement
10/20/2021,Snake,White-spotted Slug Snake,"1.346110846583753, 103.78156299047002",Road
10/23/2021,Snake,Reticulated Python,"1.409743967503618, 103.7008735490754",Road
11/1/21,Snake,Twin barred Tree Snake,"1.383028, 103.819083",Road
11/4/21,Frog,Four-lined Tree Frog,"1.3787001, 103.8241009",Road
11/4/21,Snake,Wagler's Pit Viper,"1.3837998, 103.8192612",Road
11/5/21,Lizard - Agamid,Green Crested Lizard,"1.342732, 103.779761",Road
11/7/21,Snake,Pink-headed Reed Snake,"1.3492489396645087, 103.7838164390184",Road
11/10/21,Turtle,Red-eared Slider,"1.421331015797099, 103.84178888505438",Road
11/11/21,Frog,Black-eyed Litter Frog,"1.4003597294591315, 103.80807393109387",Road
11/11/21,Snake,Reticulated Python,"1.341013134873982, 103.69334726178859",Road
11/12/21,Snake,Blue Bronzeback,"1.3814239301058455, 103.81141013901716",Road
11/12/21,Snake,Equatorial Spitting Cobra (juvenile),"1.4034773135069543, 103.8570272697088",Bicycle Track
11/12/21,Frog,Four-ridged Toad,"1.3816702213987202, 103.81487096970962",Road
11/12/21,Turtle,Red-eared Slider,"1.4026560702674808, 103.74383879510398",Road
11/14/2021,Snake,Dog-toothed Cat Snake,"1.402989, 103.969222","Concrete floor where people cycle through. ""It is opposite of nparks office, the assembly area."""
11/15/2021,Lizard - Not Sure,Green Iguana,"1.4422452061648736, 103.71377726970738",Road
11/16/2021,Snake,Reticulated Python,"1.248295588937687, 103.83756620040725",Road
11/26/2021,Lizard - Monitor,Clouded Monitor,"1.400754, 103.809669",Road
11/26/2021,Frog,Masked Rough-sided Frog,"1.352724, 103.784756",Road
11/28/2021,Snake,Reticulated Python (juvi),"1.333643, 103.744432",Road
12/3/21,Snake,Paradise Tree Snake,"1.377802, 103.771852",Road
12/5/21,Snake,Equatorial Spitting Cobra,"1.381573, 103.725986",Road
12/8/21,Lizard - Monitor,Monitor Lizard,"1.342528, 103.685500",Road
12/11/21,Snake,Paradise Tree Snake,"1.379849,103.728124",Road
12/16/2021,Turtle,Hawksbill,"1.3168094289808088, 103.97261722367338",PCN
12/22/2021,Snake,Kopstein's Bronzeback,"1.4171948701236943, 103.79565061766048",Road
12/26/2021,Snake,Equatorial Spitting Cobra,"1.3185412929521783, 103.70803616847408",Road
12/26/2021,Lizard - Monitor,Malayan Water Monitor,"1.3940165103898863, 103.83468346970918",Road
12/27/2021,Snake,Twin-barred Tree Snake,"1.400113, 103.808501",Road
1/1/22,Frog,Fejervarya sp. I think,"1.4065631176374065, 103.95911310040117",Road
1/1/22,Lizard - Monitor,Malayan Water Monitor,"1.3645740, 103.8598350",Road
1/1/22,Frog,Painted Chorus Frog,"1.4067060200206165, 103.9579726390162",Road
1/4/22,Snake,Reticulated Python,"1.4237350, 103.8855872",Road
1/11/22,Snake,Twin-barred Tree Snake,"1.380, 103.822",Road
1/13/2022,Snake,Indochinese Rat Snake,"1.387555706105318, 103.72986722367067",Road
1/14/2022,Snake,"Sunbeam Snake, Xenopeltis unicolor","1.3225023317554423, 103.76785138505812",Pavement
1/16/2022,Snake,Eight-striped Kukri Snake,"1.3725523205975514, 103.77858602367125",Road
1/16/2022,Snake,Equatorial Spitting Cobra,"1.3185412929521783, 103.70803616847408",Pavement
1/17/2022,Snake,Striped Keelback,"1.418269, 103.723048",paved walking path
1/26/2022,Snake,Paradise Tree Snake,"1.39892, 103.80679",Road
1/27/2022,Turtle,Red-eared Slider,"1.296030, 103.883976",Road
1/28/2022,Snake,Calamaria lovii ssp. gimletti,"1.3711986117156574, 103.78014453901754",Walking Trail
1/29/2022,Snake,Painted Bronzeback,"1.4022273137964674, 103.8117306083239",Road
1/30/2022,Snake,Paradise Tree Snake,"1.296038, 103.899207",Next to bicycle track
2/1/22,Snake,Equatorial Spitting Cobra,"1.353318, 103.789650",Road
2/5/22,Snake,Painted bronzeback,"1.3422057131034728, 103.79931221574981",Road
2/6/22,Snake,Reticulated python,"1.3680631278563553, 103.94697638505639",Road
2/6/22,Snake,Wagler’s Pit Viper,"1.37879, 103.82426","Found along the road of Old Upper Thomson Park Connector, but the road is closed at night."
2/10/22,Snake,Gold-ringed Cat Snake,"1.354190, 103.794661",Road
2/13/2022,Lizard - Monitor,Malayan Water Monitor,"1.363502322644204, 103.84291388505655",Road
2/19/2022,Snake,House Wolf Snake,"1.357227647266344, 103.86109726178798",Road
2/21/2022,Lizard - Agamid,Changeable Lizard,"1.416295, 103.758958",Road
2/24/2022,Snake,Sunbeam snake,"1.3884273169764119, 103.72634389297815",Road
2/25/2022,Snake,Equatorial Spitting Cobra,"1.435257,103.701958",Road
2/26/2022,Snake,Painted Bronzeback,"1.31363, 103.9542",Bicycle Track
3/1/22,Snake,Ahaetulla sp.,"1.386313, 103.725510",Road
3/4/22,Snake,Kopstein’s Bronzeback,"1.379688, 103.821487",Road
3/14/2022,Snake,Sunbeam Snake,"1.383471, 103.731292",Road
3/17/2022,Frog,Four-lined Tree Frog,"1.374105,103.940753",Pavement
3/20/2022,Lizard - Not Sure,Green Iguana,"1.386248, 103.731308",Road
3/20/2022,Snake,Striped Keelback,"1.375607, 103.951668",Road
3/25/2022,Snake,Sunbeam Snake,"1.393645537071543, 103.72820305436295",Road
3/28/2022,Snake,Sunbeam Snake,"1.386945, 103.730859",Road
4/2/22,Frog,Bengal Toad,"1.278364, 103.805051",Carpark
4/2/22,Frog,Bengal Toad,"1.346719,103.683766",Road
4/6/22,Snake,Striped Keelback,"1.40223, 103.97069",Road
4/9/22,Snake,Wagler's Pit Viper,"1.38031, 103.81871",It was hanging on a branch
4/11/22,Lizard - Gecko,Changeable Lizard,"1.335738, 103.840098",Road
4/11/22,Snake,Kopstein’s Bronzeback,"1.38356, 103.81927",Road
4/11/22,Snake,Oriental Whip Snake,"1.412594, 103.966264",Road
4/12/22,Snake,Kopstein's Bronzeback,"1.3840773179725876, 103.81943721574825",Road
4/13/2022,Turtle,Red-eared Slider,"1.385836, 103.724894",Road
4/14/2022,Snake,Kopstein’s Bronzeback,"1.399201, 103.806038",Road
4/15/2022,Frog,Bengal Toad,"1.3581, 103.82587",Road
4/16/2022,Snake,Painted Bronzeback,"1.4103915071990174, 103.77299184643974",Road
4/16/2022,Snake,Reticulated Python,"1.386405706285434, 103.77506221574812",Road
4/19/2022,Snake,Malayan Blue Coral Snake,"1.399291509365817, 103.8072343543627",Road
4/22/2022,Snake,White-spotted Slug Snake,"1.426007, 103.824105",Road
5/5/22,Snake,Dog-toothed Cat Snake,"1.3505128084091216, 103.79098013109572",Road
5/6/22,Snake,Equatorial Spitting Cobra,"1.394194, 103.694611",Road
5/6/22,Lizard - Monitor,Malayan Water Monitor,"1.317088, 103.816515",Pavement
5/6/22,Lizard - Monitor,Malayan Water Monitor,"1.40905199559649, 103.80674222366984",Road
5/7/22,Snake,Keeled bellied Whip Snake,"1.41136, 103.97458",Road
5/11/22,Frog,Golden-eared Rough-sided Frog,"1.398770, 103.807404",Road
5/12/22,Snake,Banded Malayan Coral Snake,"1.4514702037901963, 103.77987519297588",Pavement
5/13/2022,Lizard - Monitor,Malayan Water Monitor,"1.379972, 103.696573",Road
5/15/2022,Frog,Bengal Toad,"1.4029023136401595, 103.79499971574751",Pavement
5/15/2022,Snake,Black-headed Collared Snake,"1.38046, 103.82064",Road
5/15/2022,Snake,Indochinese Rat Snake,"1.387671, 103.727486",Road
5/18/2022,Snake,King Cobra (juvi),"1.415527, 103.799157",Road
5/21/2022,Snake,Pink-headed Reed Snake (juvenile),"1.3700422433523727, 103.77544917292849",Shared road used by walkers/bikes/NP vehicles
5/21/2022,Snake,Striped Bronzeback,"1.3700422433523727, 103.77544917292849",Road
5/22/2022,Turtle,Malayan Box Turtle,"1.3876710517990651,103.92291661337711",Road
5/23/2022,Lizard - Agamid,Changeable Lizard,"1.3436381341988373, 103.95515226971108",Pavement
5/27/2022,Snake,Serpentes sp.,"1.4320631107197161, 103.72431643901528",Road
5/27/2022,Snake,Striped Keelback,"1.4386985997774413, 103.73142560039993",Road
5/28/2022,Lizard - Monitor,Malayan Water Monitor,"1.2913485, 103.8674250",Bicycle Track
5/29/2022,Snake,Gold-ringed Cat Snake,"1.342659, 103.779717",Side curb of the road
6/2/22,Snake,Twin-barred Tree Snake,"1.380244, 103.820913",Road
6/4/22,Frog,Black-eyed Litter Frog,"1.4000736066743156, 103.8079374543627",Leaf litter beside road
6/4/22,Snake,Equatorial Spitting Cobra,"1.402612801242981, 103.81698036970882",Road
6/4/22,Snake,Striped Bronzeback,"1.399154, 103.807437",Road
6/7/22,Lizard - Monitor,Malayan Water Monitor,"1.300337, 103.865239",Road
6/8/22,Snake,Paradise Tree Snake,"1.347230, 103.766551",Road
6/11/22,Snake,Unidentified Slithering Object,"1.2981341, 103.7908499",Road
6/17/2022,Snake,Painted Bronzeback,"1.3907574, 103.8178604",Road
6/19/2022,Frog,Bengal Toad,"1.361263, 103.767295",Pavement
6/22/2022,Snake,Painted Bronzeback,"1.40057, 103.8092",Road
6/23/2022,Turtle,Spiny Hill Terrapin,"1.4023301, 103.8127884",Road
6/24/2022,Snake,Reticulated python,"1.4004773142013662, 103.9161834697089",Road
6/26/2022,Lizard - Monitor,Clouded Monitor,"1.392511, 103.818407",Road
6/29/2022,Lizard - Agamid,Changeable Lizard,"1.340026,103.951076",Pavement
7/2/22,Snake,King Cobra,"1.43784, 103.73005",Road
7/2/22,Snake,Kopstein's Bronzeback,"1.379311, 103.826949",Road
7/2/22,Frog,Malesian Frog,"1.39913, 103.80615",Road
7/8/22,Snake,Banded Krait,"1.4081736052425244, 103.97079685436238",Road
7/8/22,Snake,Kopstein's Bronzeback,"1.355153, 103.797202",Road
7/8/22,Snake,Reticulated Python,"1.387645,103.727287",Road
7/11/22,Lizard - Not Sure,Green Iguana,"1.387079, 103.730650",Road
7/11/22,Lizard - Monitor,Malayan Water Monitor,"1.32387, 103.86739",Road
7/11/22,Snake,Serpentes sp.,"1.379460, 103.826575",Road
7/14/2022,Lizard - Monitor,Malayan Water Monitor,"1.387602, 103.727286",Road
7/15/2022,Snake,Malayan Racer,"1.4000307041425364, 103.80810911574765",Road
7/15/2022,Lizard - Monitor,Malayan Water Monitor,"1.257798, 103.812209",Road
7/18/2022,Snake,Gold-ringed Cat Snake,"1.4107847258914528, 103.77207805436231",Road
7/19/2022,Snake,Equatorial Spitting Cobra,"1.3743310292209945, 103.71414453901743",Road
7/22/2022,Lizard - Monitor,Malayan Water Monitor,"1.323938, 103.767159",Road
7/26/2022,Frog,Anura sp.,"1.398700, 103.807350",Road
7/26/2022,Snake,Paradise Tree Snake,"1.291687, 103.780380",Road
7/27/2022,Snake,Malayan Bridle Snake,"1.39931, 103.8077",Road
7/28/2022,Frog,Bengal Toad,"1.318734,103.815379",Walking Trail
7/30/2022,Snake,Banded Malayan Coral Snake,"1.4445427309461407, 103.7799204749467",Pavement
7/31/2022,Snake,Sunbeam snake,"1.3877806656223775, 103.73103144723599",Road
8/1/22,Lizard - Not Sure,Green Iguana,"1.380254, 103.733555",Road
8/1/22,Snake,Indochinese Rat Snake,"1.420641505183839, 103.70633976970815",Road
8/2/22,Snake,Reticulated phyton,"1.2692, 103.62926",Road
8/2/22,Snake,Variable Reed Snake,"1.4020452163442267, 103.78763268505512",Road
8/3/22,Snake,Black-headed Collared Snake,"1.369341515131968, 103.82749596971011",Road
8/6/22,Frog,Bengal Toad,"1.33283, 103.87301",Road
8/10/22,Frog,Anura sp.,"1.399220, 103.807550",Road
8/10/22,Frog,Bengal Toad,"1.398140, 103.804290",Road
8/10/22,Snake,Striped Keelback,"1.3867915117866396, 103.72548060832447",Road
8/11/22,Frog,Bengal Toad,"1.399080, 103.807150",Road
8/11/22,Snake,Twin-barred Tree Snake,"1.377978, 103.827805",Road
8/20/2022,Snake,Indochinese Rat Snake,"1.383297, 103.721961",Road
8/22/2022,Snake,White-spotted Slug Snake,"1.2925165293868217, 103.82068721575173",PCN Alexandra canal
8/25/2022,Lizard - Skink,Common Sun Skink,"1.360670, 103.825610",Walking Trail
8/25/2022,Snake,Reticulated Python,"1.40585, 103.8232",Road
8/28/2022,Turtle,Heosemys grandis,"1.3790128045198207, 103.73320680040221","On pavement, beside major road"
8/30/2022,Snake,House Wolf Snake,"1.3903097328742648, 103.72649184644048",Road
9/3/22,Frog,Bengal Toad,"1.31899523650456, 103.78485911575069",Walking Trail
9/3/22,Snake,Common Malayan Racer,"1.3649310318538388, 103.90017560040276",Road
